img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10
Pieza_02_foto450;2;450;84.52256944444444;99.71354166666667;69.04513888888889;20.78125;8.628472222222221;34.84375;89.40972222222223;98.39409722222223;20.807291666666668;0.0
Pieza_02_foto451;2;451;0.6684027777777778;61.310763888888886;80.26909722222223;14.86111111111111;28.29861111111111;35.3125;72.72569444444444;99.07986111111111;27.786458333333332;0.0
Pieza_02_foto456;2;456;0.0;27.09201388888889;100.0;68.74131944444444;0.0;0.0;24.756944444444443;98.02951388888889;98.94965277777777;91.25
Pieza_02_foto457;2;457;89.13194444444444;94.40104166666667;84.46180555555556;14.0625;14.0625;27.34375;59.52256944444444;96.38020833333333;26.302083333333332;18.28125
Pieza_02_foto462;2;462;20.9375;62.77138157894737;77.73848684210526;0.0;7.483552631578948;26.101973684210527;34.317434210526315;82.13815789473684;25.748355263157894;0.0
Pieza_02_foto463;2;463;2.15;53.175;79.18125;79.125;68.05;40.25625;37.5625;64.29375;98.56875;100.0
Pieza_02_foto464;2;464;0.0;34.91319444444444;74.31423611111111;74.21875;68.75;0.0;12.552083333333334;57.33506944444444;96.09375;76.5625
Pieza_02_foto465;2;465;0.0;14.62673611111111;51.37152777777778;68.46354166666667;63.59375;0.0;12.98611111111111;68.45486111111111;100.0;100.0
Pieza_02_foto466;2;466;0.0;33.89136904761905;76.74107142857143;81.09375;89.18154761904762;0.0;2.0089285714285716;24.561011904761905;100.0;100.0
Pieza_02_foto467;2;467;0.0;15.766369047619047;65.25297619047619;82.5;77.8125;0.0;35.691964285714285;85.55803571428571;90.5952380952381;98.23660714285714
Pieza_02_foto468;2;468;0.0;24.98641304347826;46.56929347826087;81.58288043478261;83.4375;0.0;29.83016304347826;97.73777173913044;100.0;100.0
Pieza_02_foto469;2;469;0.0;25.148026315789473;64.81085526315789;79.70394736842105;89.21875;0.0;4.128289473684211;45.77302631578947;72.5657894736842;85.9375
Pieza_02_foto470;2;470;5.034722222222222;53.86574074074074;54.710648148148145;77.06018518518519;55.59606481481482;0.4398148148148148;62.62152777777778;97.01388888888889;99.00462962962963;77.98611111111111
Pieza_02_foto471;2;471;0.0;54.755208333333336;55.234375;88.015625;100.0;0.0;54.958333333333336;91.375;100.0;100.0
Pieza_02_foto472;2;472;0.0;51.8795955882353;94.11764705882354;100.0;82.62867647058823;2.7941176470588234;47.0358455882353;66.30055147058823;100.0;100.0
Pieza_02_foto473;2;473;0.0;18.139880952380953;90.9375;100.0;100.0;0.0;32.63392857142857;96.25;95.9375;97.38839285714286
Pieza_02_foto474;2;474;0.0;31.21527777777778;85.71180555555556;90.89699074074075;90.0;0.0;7.986111111111111;69.42708333333333;100.0;100.0
